track_id,audio_path,status,decoder,reason
32339,data\fma_small\fma_small\032\032339.mp3,ok,audioread,
88892,data\fma_small\fma_small\088\088892.mp3,ok,audioread,
78851,data\fma_small\fma_small\078\078851.mp3,ok,audioread,
97570,data\fma_small\fma_small\097\097570.mp3,ok,audioread,
88868,data\fma_small\fma_small\088\088868.mp3,ok,audioread,
45513,data\fma_small\fma_small\045\045513.mp3,ok,audioread,
5191,data\fma_small\fma_small\005\005191.mp3,ok,audioread,
68844,data\fma_small\fma_small\068\068844.mp3,ok,audioread,
5,data\fma_small\fma_small\000\000005.mp3,ok,audioread,
142666,data\fma_small\fma_small\142\142666.mp3,ok,audioread,
123509,data\fma_small\fma_small\123\123509.mp3,ok,audioread,
43691,data\fma_small\fma_small\043\043691.mp3,ok,audioread,
71157,data\fma_small\fma_small\071\071157.mp3,ok,audioread,
122168,data\fma_small\fma_small\122\122168.mp3,ok,audioread,
148612,data\fma_small\fma_small\148\148612.mp3,ok,audioread,
10696,data\fma_small\fma_small\010\010696.mp3,ok,audioread,
145610,data\fma_small\fma_small\145\145610.mp3,ok,audioread,
114396,data\fma_small\fma_small\114\114396.mp3,ok,audioread,
107029,data\fma_small\fma_small\107\107029.mp3,ok,audioread,
11298,data\fma_small\fma_small\011\011298.mp3,ok,audioread,
130372,data\fma_small\fma_small\130\130372.mp3,ok,audioread,
13804,data\fma_small\fma_small\013\013804.mp3,ok,audioread,
115735,data\fma_small\fma_small\115\115735.mp3,ok,audioread,
96403,data\fma_small\fma_small\096\096403.mp3,ok,audioread,
85422,data\fma_small\fma_small\085\085422.mp3,ok,audioread,
122352,data\fma_small\fma_small\122\122352.mp3,ok,audioread,
57630,data\fma_small\fma_small\057\057630.mp3,ok,audioread,
88960,data\fma_small\fma_small\088\088960.mp3,ok,audioread,
127726,data\fma_small\fma_small\127\127726.mp3,ok,audioread,
116119,data\fma_small\fma_small\116\116119.mp3,ok,audioread,
86263,data\fma_small\fma_small\086\086263.mp3,ok,audioread,
146151,data\fma_small\fma_small\146\146151.mp3,ok,audioread,
110765,data\fma_small\fma_small\110\110765.mp3,ok,audioread,
100959,data\fma_small\fma_small\100\100959.mp3,ok,audioread,
113558,data\fma_small\fma_small\113\113558.mp3,ok,audioread,
97794,data\fma_small\fma_small\097\097794.mp3,ok,audioread,
49812,data\fma_small\fma_small\049\049812.mp3,ok,audioread,
118195,data\fma_small\fma_small\118\118195.mp3,ok,audioread,
139523,data\fma_small\fma_small\139\139523.mp3,ok,audioread,
141894,data\fma_small\fma_small\141\141894.mp3,ok,audioread,
133781,data\fma_small\fma_small\133\133781.mp3,ok,audioread,
93704,data\fma_small\fma_small\093\093704.mp3,ok,audioread,
84142,data\fma_small\fma_small\084\084142.mp3,ok,audioread,
47666,data\fma_small\fma_small\047\047666.mp3,ok,audioread,
64627,data\fma_small\fma_small\064\064627.mp3,ok,audioread,
124485,data\fma_small\fma_small\124\124485.mp3,ok,audioread,
12052,data\fma_small\fma_small\012\012052.mp3,ok,audioread,
6519,data\fma_small\fma_small\006\006519.mp3,ok,audioread,
90993,data\fma_small\fma_small\090\090993.mp3,ok,audioread,
116447,data\fma_small\fma_small\116\116447.mp3,ok,audioread,
68543,data\fma_small\fma_small\068\068543.mp3,ok,audioread,
56517,data\fma_small\fma_small\056\056517.mp3,ok,audioread,
118000,data\fma_small\fma_small\118\118000.mp3,ok,audioread,
60736,data\fma_small\fma_small\060\060736.mp3,ok,audioread,
69830,data\fma_small\fma_small\069\069830.mp3,ok,audioread,
145744,data\fma_small\fma_small\145\145744.mp3,ok,audioread,
122807,data\fma_small\fma_small\122\122807.mp3,ok,audioread,
890,data\fma_small\fma_small\000\000890.mp3,ok,audioread,
145003,data\fma_small\fma_small\145\145003.mp3,ok,audioread,
27258,data\fma_small\fma_small\027\027258.mp3,ok,audioread,
28375,data\fma_small\fma_small\028\028375.mp3,ok,audioread,
106522,data\fma_small\fma_small\106\106522.mp3,ok,audioread,
100799,data\fma_small\fma_small\100\100799.mp3,ok,audioread,
119592,data\fma_small\fma_small\119\119592.mp3,ok,audioread,
48444,data\fma_small\fma_small\048\048444.mp3,ok,audioread,
140609,data\fma_small\fma_small\140\140609.mp3,ok,audioread,
131020,data\fma_small\fma_small\131\131020.mp3,ok,audioread,
128711,data\fma_small\fma_small\128\128711.mp3,ok,audioread,
7393,data\fma_small\fma_small\007\007393.mp3,ok,audioread,
86443,data\fma_small\fma_small\086\086443.mp3,ok,audioread,
90982,data\fma_small\fma_small\090\090982.mp3,ok,audioread,
110775,data\fma_small\fma_small\110\110775.mp3,ok,audioread,
70878,data\fma_small\fma_small\070\070878.mp3,ok,audioread,
72790,data\fma_small\fma_small\072\072790.mp3,ok,audioread,
126668,data\fma_small\fma_small\126\126668.mp3,ok,audioread,
130937,data\fma_small\fma_small\130\130937.mp3,ok,audioread,
